Açude,Bacia,Município,Capac. Máxima,Volume Atual,Volume total
Duas Estradas,Camaratuba,Duas Estradas,410260,381478,93
Suspiro,Camaratuba,Serra da Raiz,276400,106107,38
Cacimba de Várzea,Curimatau,Cacimba de Dentro,9264321,8853000,96
Curimataú,Curimatau,Barra de Santa Rosa,5989250,585862,10
Jandaia,Curimatau,Bananeiras,10032266,9238500,92
Poleiros,Curimatau,Barra de Santa Rosa,7933700,939562,12
Bastiana,Espinharas,Teixeira,1271560,393,0
Capoeira,Espinharas,Santa Teresinha,53450000,16759820,31
Farinha,Espinharas,Patos,25738500,21918430,85
Jatobá I,Espinharas,Patos,17516000,7024543,40
Riacho das Moças,Espinharas,Teixeira,6413411,45510,1
Sabonete,Espinharas,Teixeira,1952540,3392,0
São Francisco II,Espinharas,Teixeira,4920720,618232,13
Gramame / Mamuaba,Gramame,Conde,56937000,53896800,95
Boqueirão do Cais,Jacu,Cuité,12367300,1413931,11
Retiro ,Jacu,Cuité,40500000,3134096,8
Araçagi,Mamanguape,Araçagi,63289037,63471593,100
Brejinho,Mamanguape,Juarez Távora,789000,513836,65
Canafístula II,Mamanguape,Borborema,4102626,2667991,65
Chupadouro II,Mamanguape,Serra Redonda,634620,258306,41
Covão,Mamanguape,Areial,672260,340308,51
Emídio,Mamanguape,Montadas,415770,120803,29
Jangada,Mamanguape,Mamanguape,470000,464000,99
Lagoa do Matias,Mamanguape,Bananeiras,1239883,1025793,83
Manguape,Mamanguape,São Sebastião de Lagoa de Roça,655375,73025,11
Massaranduba,Mamanguape,Massaranduba,604390,169167,28
Nova Camará,Mamanguape,Alagoa Nova,26581614,7958099,30
Pirpirituba,Mamanguape,Pirpirituba,4666188,4283182,92
Pitombeira,Mamanguape,Alagoa Grande,2955820,2966292,100
Saulo Maia,Mamanguape,Areia,9833615,9735732,99
Sindô Ribeiro,Mamanguape,Massaranduba,3022715,1651295,55
São Sebastião,Mamanguape,São Sebastião de Lagoa de Roça,453075,353160,78
Tauá,Mamanguape,Cuitegi,8573500,8468913,99
Vaca Brava,Mamanguape,Areia,3783556,677700,18
Arrojado,Peixe,Uiraúna,3596180,1839272,51
Cachoeira da Vaca,Peixe,Cachoeira dos Índios,339156,339156,100
Capivara,Peixe,Uiraúna,37549827,15630417,42
Chupadouro I,Peixe,São João do Rio do Peixe,2764100,984308,36
Gamela,Peixe,Triunfo,472926,402301,85
Lagoa do Arroz,Peixe,Cajazeiras,80388537,64859058,81
Paraíso (Luiz Oliveira),Peixe,São Francisco,5340024,5495033,103
Pilões,Peixe,São João do Rio do Peixe,7888854,7890000,100
Albino,Piancó,Imaculada,1833955,1465056,80
Bom Jesus II,Piancó,Agua Branca,14636457,10768090,74
Bruscas,Piancó,Curral Velho,38206463,16478720,43
Cachoeira dos Alves,Piancó,Itaporanga,10611196,10569943,100
Cachoeira dos Cegos,Piancó,Catingueira,71887047,34796915,48
Cafundó,Piancó,Serra Grande,313680,313680,100
Catolé I,Piancó,Manaíra,10500000,6929212,66
Cochos,Piancó,Igaracy,4200000,4190648,100
Condado,Piancó,Conceição,35016000,14426160,41
Coremas,Piancó,Coremas,744144694,423319984,57
Emas,Piancó,Emas,2013750,1528387,76
Frutuoso II,Piancó,Aguiar,3517220,3558054,101
Glória,Piancó,Juru,1349980,1052191,78
Jatobá II,Piancó,Princesa Isabel,5660979,1754739,31
Jenipapeiro (Buiú),Piancó,Olho D`Água,70757250,19568808,28
Lancha I,Piancó,Aguiar,5675800,5409495,95
Mameluco,Piancó,Ibiara,6041750,2515890,42
Mãe dÁgua,Piancó,Coremas,545017499,312962341,57
Novo II,Piancó,Tavares,706080,450431,64
Pedra Lisa,Piancó,Imaculada,4929420,4969090,101
Pimenta,Piancó,São José de Caiana,255744,269865,106
Piranhas,Piancó,Ibiara,25696200,17234768,67
Poço Redondo,Piancó,Santana de Mangueira,8931340,4661097,52
Queimadas,Piancó,Santana dos Garrotes,15625338,11485221,74
Riacho Verde,Piancó,Boa Ventura,1256250,853162,68
Roçado,Piancó,Conceição,798969,790114,99
Saco,Piancó,Nova Olinda,97488089,44853053,46
Santa Inês,Piancó,Santa Inês,29684041,11355652,38
Serra Vermelha I,Piancó,Conceição,11801173,1023944,9
Tavares II,Piancó,Tavares,9000000,8140994,90
Timbaúba,Piancó,Juru,15438572,5928498,38
Vazante,Piancó,Diamante,9091200,9203768,101
Video,Piancó,Conceição,6040264,6108926,101
Bichinho,Região do Alto Curso do Rio Paraíba,Barra de São Miguel,4574375,78982,2
Camalaú,Região do Alto Curso do Rio Paraíba,Camalaú,46437520,20134750,43
Campos,Região do Alto Curso do Rio Paraíba,Caraúbas,6594392,469335,7
Cordeiro,Região do Alto Curso do Rio Paraíba,Congo,69965945,25181573,36
Epitácio Pessoa,Região do Alto Curso do Rio Paraíba,Boqueirão,466525964,221131315,47
Ouro Velho,Região do Alto Curso do Rio Paraíba,Ouro Velho,1675800,8758,1
Pocinhos,Região do Alto Curso do Rio Paraíba,Monteiro,6789305,2296061,34
Poções,Região do Alto Curso do Rio Paraíba,Monteiro,29861562,30634974,103
Prata II,Região do Alto Curso do Rio Paraíba,Prata,1308433,13232,1
Santo Antônio,Região do Alto Curso do Rio Paraíba,São Sebastião do Umbuzeiro,24424130,8227077,34
Serrote,Região do Alto Curso do Rio Paraíba,Monteiro,5709000,378067,7
Sumé,Região do Alto Curso do Rio Paraíba,Sumé,44864100,3026297,7
São Domingos,Região do Alto Curso do Rio Paraíba,São Domingos do Cariri,7760200,4377560,56
São José II,Região do Alto Curso do Rio Paraíba,Monteiro,1311540,1313847,100
São Paulo,Região do Alto Curso do Rio Paraíba,Prata,8455500,70050,1
Bartolomeu I,Região do Alto Curso do Rio Piranhas,Bonito de Santa Fé,17570556,17543019,100
Bom Jesus,Região do Alto Curso do Rio Piranhas,Carrapateira,343800,353292,103
Engenheiro Avidos,Região do Alto Curso do Rio Piranhas,Cajazeiras,293617376,102719844,35
Jenipapeiro,Região do Alto Curso do Rio Piranhas,São José da Lagoa Tapada,1948300,778395,40
São Gonçalo,Região do Alto Curso do Rio Piranhas,Sousa,40582277,40785310,101
São José I,Região do Alto Curso do Rio Piranhas,São José de Piranhas,3051125,3087975,101
Chã dos Pereiras,Região do Baixo Curso do Rio Paraíba,Ingá,1965600,1550620,79
Gavião,Região do Baixo Curso do Rio Paraíba,Fagundes,1450840,1280710,88
José Rodrigues,Região do Baixo Curso do Rio Paraíba,Campina Grande,22332348,3843762,17
Marés,Região do Baixo Curso do Rio Paraíba,João Pessoa,2136637,1797205,84
Olho dÁgua,Região do Baixo Curso do Rio Paraíba,Mari,868320,949926,109
São Salvador,Região do Baixo Curso do Rio Paraíba,Sapé,12657520,10802074,85
Acauã (Argemiro de Figueiredo),Região do Médio Curso do Rio Paraíba,Itatuba,253142247,146683877,58
Milhã (Evaldo Gonçalves),Região do Médio Curso do Rio Paraíba,Puxinanã,802684,109405,14
Riacho de Santo Antônio,Região do Médio Curso do Rio Paraíba,Riacho de Santo Antônio,6834000,3125,0
Baião,Região do Médio Curso do Rio Piranhas,Belém do Brejo do Cruz,39224628,25626628,65
Carneiro,Região do Médio Curso do Rio Piranhas,Jericó,31285875,31285875,100
Engenheiro Arcoverde,Região do Médio Curso do Rio Piranhas,Condado,36834375,14942077,41
Escondido,Região do Médio Curso do Rio Piranhas,Belém do Brejo do Cruz,16579250,5649482,34
Riacho dos Cavalos,Região do Médio Curso do Rio Piranhas,Riacho dos Cavalos,17699000,4848992,27
Santa Rosa,Região do Médio Curso do Rio Piranhas,Brejo do Cruz,2843984,2878628,101
Tapera,Região do Médio Curso do Rio Piranhas,Belém do Brejo do Cruz,26418660,5455557,21
Cacimbinha,Seridó,São Vicente do Seridó,2156560,28320,1
Caraibeiras,Seridó,Picuí,2709260,1414435,52
Felismina Queiroz,Seridó,São Vicente do Seridó,2060000,327406,16
Riacho Fundo,Seridó,Tenório,298616,30836,10
Santa Luzia,Seridó,Santa Luzia,11960250,2670990,22
São José IV,Seridó,São José do Sabugi,554100,2380,0
São Mamede,Seridó,São Mamede,15791280,2343480,15
Várzea,Seridó,Várzea,1132975,185338,16
Várzea Grande,Seridó,Picuí,21532659,162595,1
Coronel Jueca,Taperoá,Cacimbas,6126875,908125,15
Gurjão,Taperoá,Gurjão,3786215,125701,3
Jeremias,Taperoá,Desterro,4658430,5764,0
Lagoa do Meio,Taperoá,Taperoá,6647875,198592,3
Livramento (Russos),Taperoá,Gurjão,2432420,90848,4
Mucutu,Taperoá,Juazeirinho,25373341,464918,2
Namorado,Taperoá,São João do Cariri,2118980,243962,12
Olivedos,Taperoá,Olivedos,5875124,737479,13
Serra Branca I,Taperoá,Serra Branca,2117062,810877,38
Serra Branca II,Taperoá,Serra Branca,14042568,1298072,9
Soledade,Taperoá,Soledade,27058000,4060850,15
São José III,Taperoá,São José dos Cordeiros,956000,101050,11
Taperoá II (Manoel Marcionilo),Taperoá,Taperoá,14797430,3567575,24
